"","plant","treatment","length","avgDiam","rootVolume","FRL","CRL","FRS","CRS","FVOL"
"56","5","PH487",4081.9958,0.5299,9.272,4026.9927,54.2377,573.7107,55.7273,10.1275
"57","5","PH494",3932.0228,0.5231,8.449,3895.0207,36.4769,555.4485,36.8829,8.8373
"58","5","PH504",2264.4943,0.3833,2.613,2249.208,14.9385,231.9176,16.9448,2.9806
"59","5","PH505",3862.9488,0.3359,3.416,3847.4172,15.003,348.7159,20.4281,4.1422
"60","5","PH518",2927.9382,0.3508,2.83,2914.8164,12.6819,274.1448,17.3337,3.1122
"61","5","PH521",2892.5711,0.545,6.749,2848.0012,44.1681,409.8549,44.2548,7.4275
"62","5","PH531",2009.469,0.3432,1.859,1998.1712,10.7968,184.9307,12.0541,2.1011
"63","5","PH536",2300.1031,0.3496,2.208,2284.6168,15.2386,211.9757,21.495,2.2171
"64","5","PH537",3433.5559,0.4035,4.39,3404.2245,28.6297,363.8948,28.7918,5.057
"65","5","PH541",5827.677,0.339,5.259,5804.0414,22.3775,536.551,28.1221,6.0762
"66","6","Control",8003.9363,0.3094,5.912,7978.584,24.1896,670.325,31.9343,6.5839
"67","6","PH462",3469.1504,0.5283,7.605,3424.3292,44.0493,482.4233,43.8709,8.2578
"68","6","PH480",2862.3169,0.4274,4.106,2831.6465,30.1218,307.9936,37.2237,4.1513
"69","6","PH487",3663.0954,0.438,5.52,3632.9453,29.5463,413.0719,40.1399,5.9196
"70","6","PH494",2524.6768,0.5052,5.061,2486.3209,38.1783,325.4546,42.8731,5.2212
"71","6","PH504",4649.6179,0.3732,5.087,4611.1918,36.8344,444.7969,41.145,5.6091
"72","6","PH505",4707.4244,0.41105,5.574,4667.1029,39.2958,449.7189,51.134,5.5783
"73","6","PH518",6043.3377,0.32855,5.16,6011.8412,30.7774,533.9469,35.8287,5.8035
"74","6","PH521",2832.409,0.6586,9.648,2764.573,67.147,465.3194,77.3787,8.9757
"75","6","PH531",4270.0908,0.3084,3.189,4250.3543,18.6828,341.0051,26.5795,3.3095
"76","6","PH536",4272.8599,0.3513,4.141,4240.8611,30.6647,396.7236,31.0527,4.7256
"77","6","PH537",4607.8445,0.39535,5.647,4575.9981,30.9599,483.8458,35.2538,6.4058
"78","6","PH541",8312.0476,0.3913,9.933,8286.7593,23.7297,893.9832,30.9299,11.0001
"79","7","Control",9129.6079,0.2652,5.142,9106.215,21.3829,656.0555,36.9631,5.2071
"80","7","PH462",3525.824,0.5624,8.76,3483.0811,42.1253,516.092,48.7052,8.6993
"81","7","PH480",3685.1086,0.5087,7.491,3617.209,66.816,452.1058,77.4112,7.5101
"82","7","PH487",2840.423,0.4353,4.228,2798.4376,41.2035,302.4908,48.2812,4.3418
"83","7","PH494",4616.4949,0.5918,12.954,4515.6509,100.0621,690.7455,103.809,12.689
"84","7","PH504",5084.5469,0.3519,4.945,5061.1337,22.5629,476.5639,30.353,5.8238
"85","7","PH505",4649.9793,0.3661,4.902,4630.0559,19.346,464.9361,25.9641,5.343
"86","7","PH518",3132.5335,0.4109,4.155,3104.8203,26.9427,337.6964,27.7341,4.6279
"87","7","PH521",6913.0997,0.46485,11.647,6878.5543,33.2941,890.5971,33.9207,12.0501
"88","7","PH531",3911.0782,0.3834,4.516,3888.4191,21.8012,396.6537,26.9678,4.8825
"89","7","PH536",2453.3494,0.3505,2.368,2427.8523,25.1154,217.4062,30.8565,2.4173
"90","7","PH537",6559.6507,0.3408,6.069,6522.5164,35.7076,604.342,38.7693,6.3929
"91","7","PH541",5895.0178,0.3485,5.798,5870.4734,23.8332,561.9641,34.5632,6.147
